                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2014


NAME: Stapleton, Bristol                  
ELEV: 40 meters    LAT: 51-27.00 N    LONG: 002-35.00 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (km/h)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    4.7    9.8  14:26   -0.3  04:02    6.0    0.0    0.0    1.9   16.1  15:07    229
 02    7.4    9.8  14:17    4.7  00:00    4.5    0.0   13.2    8.7   33.8  10:24    197
 03    5.4    8.9  14:31    2.6  04:10    5.6    0.0    2.2    4.2   22.5  06:16    104
 04    6.1   10.7  14:10    2.1  01:55    5.2    0.0    0.0    2.5   20.9  11:49    261
 05    6.5   11.7  15:08    0.1  04:32    5.0    0.0    0.0    3.1   22.5  23:56    226
 06    9.1   10.6  12:15    8.0  06:13    3.5    0.0    2.6    8.3   30.6  12:41    202
 07   10.3   14.3  14:35    5.9  21:47    2.9    0.0    0.2    7.1   37.0  06:22    225
 08   10.1   15.8  14:05    4.4  02:46    3.0    0.0    0.0    8.7   40.2  13:36    160
 09   12.0   18.2  13:58    6.9  06:54    1.9    0.0    0.0    4.9   27.4  13:47    157
 10    8.2   11.9  16:18    4.8  02:57    4.1    0.0    0.0    3.4   24.1  17:00     42
 11    6.6    9.1  16:09    4.9  23:58    4.9    0.0    0.0    4.3   22.5  07:51     53
 12    5.0   10.5  15:54    1.4  06:42    5.8    0.0    0.0    2.2   16.1  13:42     54
 13    5.0    9.3  16:10    1.9  04:28    5.8    0.0    0.0    0.5    8.0  09:48     27
 14    5.1    9.1  12:55    1.4  06:30    5.8    0.0    0.2    2.8   24.1  15:06    239
 15    9.7   13.6  12:43    6.2  00:01    3.2    0.0    0.0    6.0   32.2  15:19    255
 16   10.6   15.1  12:51    7.2  06:51    2.7    0.0    0.0    5.5   25.7  15:40    250
 17    9.5   12.1  14:32    8.2  23:16    3.3    0.0    0.0    4.4   25.7  15:48    257
 18    9.6   12.5  16:13    7.7  03:37    3.3    0.0    0.0   10.0   45.1  11:29    256
 19    9.3   12.6  15:15    7.4  23:23    3.4    0.0    0.0    7.3   33.8  09:02    244
 20    9.6   12.7  14:01    7.6  00:01    3.3    0.0    4.0   10.9   45.1  11:35    218
 21    7.2   10.1  14:32    3.9  22:20    4.6    0.0    3.6    8.4   41.8  17:42    224
 22    6.1   10.1  14:48    2.8  06:14    5.2    0.0    2.6    8.4   35.4  12:43    242
 23    6.5   10.5  14:36    2.6  23:15    5.0    0.0    0.8    6.3   38.6  14:38    285
 24    5.1    9.5  13:20   -1.2  06:06    5.8    0.0    0.6    8.5   38.6  13:08    138
 25    7.6   10.7  12:10    5.6  23:58    4.4    0.0    1.6    2.8   19.3  15:42     17
 26    5.3    9.4  14:09    2.4  06:30    5.6    0.0    0.0    1.7   19.3  17:46     29
 27    4.6    8.7  17:03    1.4  04:38    6.1    0.0    0.2    3.8   25.7  14:54     65
 28    5.8    9.7  16:43    2.3  00:33    5.4    0.0    4.8    4.9   35.4  12:55     77
 29   11.9   17.9  13:17    6.2  02:59    2.0    0.0    0.2    7.3   38.6  13:31    108
 30   13.2   19.1  15:30    7.3  04:28    1.3    0.0    0.0    4.1   30.6  14:38    107
 31   12.0   15.8  15:09    8.8  05:15    2.0    0.0    1.4    3.0   20.9  13:55    126
---------------------------------------------------------------------------------------
       7.9   19.1     30   -1.2     24  130.8    0.0   38.2    5.4   45.1     18    210
    

